Lat,Lon,COOP#,ID State,State,City/Station Name,County,Elev,snow_fall,42006,42007,42008,42009,42010,42011,42012,42013,42014,42015,42016,42017,42018,42019,42020,42021,42022,42023,42024,42025,42026,42027,42028,42029,42030,42031,42032,42033,42034,42035,ignore,id
33.59,-85.86,10272,AL,AL,ANNISTON ARPT ASOS,CALHOUN,594,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01015,1015
34.74,-87.6,15749,AL,AL,MUSCLE SHOALS AP,COLBERT,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,01033,1033
34.24,-86.96,18812,AL,AL,WEST POINT,CULLMAN,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,01043,1043
31.32,-85.45,12372,AL,AL,DOTHAN FAA AIRPORT,DALE,374,0,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,-9999,-9999,-9999,0,0,0,-9999,0,0,0,01045,1045
34.67,-86.05,17304,AL,AL,SCOTTSBORO,JACKSON,615,0,0,0,-9999,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01071,1071
33.57,-86.74,10831,AL,AL,BIRMINGHAM AP ASOS,JEFFERSON,615,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01073,1073
34.49,-87.3,15635,AL,AL,MOULTON 2,LAWRENCE,622,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,01079,1079
34.78,-86.95,10390,AL,AL,ATHENS,LIMESTONE,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,01083,1083
34.64,-86.79,14064,AL,AL,HUNTSVILLE INTL AP,MADISON,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01089,1089
34.33,-86.33,13575,AL,AL,GUNTERSVILLE NO.2,MARSHALL,595,0,0,0,0,-9999,-9999,0,-9999,0,-9999,0,0,0,-9999,0,0,0,-9999,0,0,0,0,0,-9999,0,-9999,0,0,0,0,0,01095,1095
30.69,-88.25,15478,AL,AL,MOBILE REGIONAL AP,MOBILE,215,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01097,1097
32.3,-86.41,15550,AL,AL,MONTGOMERY AP ASOS,MONTGOMERY,202,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01101,1101
33.18,-86.78,10116,AL,AL,ALABASTER SHELBY CO AP,SHELBY,565,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01117,1117
33.21,-87.62,18383,AL,AL,TUSCALOOSA ARPT ASOS,TUSCALOOSA,150,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01125,1125
34.48,-91.54,36918,AR,AR,STUTTGART,ARKANSAS,223,0,0,-9999,-9999,-9999,0,0,0,0,-9999,-9999,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05001,5001
36.42,-92.25,32700,AR,AR,GAMALIEL,BAXTER,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,0,0,0,0,0,05005,5005
36.27,-93.16,33165,AR,AR,HARRISON BOONE CO AP,BOONE,1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,05009,5009
33.56,-91.38,31962,AR,AR,DERMOTT 3 NE,CHICOT,145,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,05017,5017
34.14,-93.06,30220,AR,AR,ARKADELPHIA 2 N,CLARK,196,0,0,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,05019,5019
33.29,-93.23,34548,MAGA4    AR,AR,MAGNOLIA,COLUMBIA,325,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,-9999,0,0,0,0,0,0,-9999,0,0,0,-9999,0,0,0,0,0,05027,5027
35.29,-92.79,33200,AR,AR,HATTIEVILLE,CONWAY,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05029,5029
35.85,-90.66,33734,JBRA4    AR,AR,JONESBORO 2 NE,CRAIGHEAD,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05031,5031
